"id","product_name","expiration","detail","created_at","updated_at","open_date","consumed","user_id"
682,"フカヒレスープ","2020-02-06","太平食品","2020-02-19 07:44:39","2020-02-19 07:44:39",NULL,1,1
702,"ユッケジャン","2021-05-02","SB","2020-02-19 07:46:51","2020-02-19 07:46:51",NULL,1,1
722,"麻婆茄子","2020-07-01","味の素","2020-02-19 07:48:48","2020-02-19 07:48:48",NULL,1,1
742,"麻婆豆腐　広東風","2020-08-01","味の素","2020-02-19 07:55:14","2020-02-19 07:55:14",NULL,1,1
752,"麻婆豆腐　広東風","2021-05-01","味の素","2020-02-19 07:55:47","2020-02-19 07:55:47",NULL,1,1
762,"黒麻婆豆腐","2021-09-01","味の素","2020-02-19 07:56:14","2020-02-19 07:56:14",NULL,1,1
782,"ガパオ","2020-08-18","味の素","2020-02-19 07:58:07","2020-02-19 07:58:07",NULL,1,1
802,"鶏肉のトマト煮","2021-04-09","モランボン","2020-02-19 07:58:28","2020-02-19 07:58:28",NULL,1,1
812,"じゃがマッシュ","2020-04-04","カルビー","2020-02-19 08:00:10","2020-02-19 08:00:10",NULL,1,1
822,"濃いシチュー","2020-07-19","SB","2020-02-19 08:01:01","2020-02-19 08:01:01",NULL,1,1
832,"ふわ玉トマト炒め","2021-02-14","キッコーマン","2020-02-19 08:03:59","2020-02-19 08:03:59",NULL,1,1
842,"青菜炒め",NULL,"コーミ","2020-02-19 08:05:07","2020-02-19 08:05:07",NULL,1,1
852,"デミグラスソース","2021-02-13","ハインツ","2020-02-19 08:05:49","2020-02-19 08:05:49",NULL,1,1
862,"ホワイトソース","2021-10-02","ハインツ","2020-02-19 08:06:27","2020-02-19 08:06:27",NULL,1,1
872,"PREMIUM  KETCHUP","2020-01-16","高橋ソース","2020-02-19 08:07:09","2020-02-19 08:07:09",NULL,1,1
882,"紫峰のつゆ","2020-06-02","柴沼醤油","2020-02-19 08:07:43","2020-02-19 08:07:43",NULL,1,1
902,"浅漬け白キムチ","2020-07-17","北杜食品","2020-02-19 08:09:44","2020-02-19 08:09:44",NULL,1,1
912,"ひまわり油","2021-01-03","昭和産業","2020-02-19 08:10:27","2020-02-19 08:10:27",NULL,1,1
932,"ごま油","2021-12-06","岩井の胡麻油","2020-02-19 08:13:06","2020-02-19 08:13:06",NULL,1,1
942,"オリーブオイル","2021-02-01","日清オイリオ","2020-02-19 08:14:21","2020-02-19 08:14:21",NULL,1,1
952,"牡蠣醤油","2021-01-19","アサムラサキ","2020-02-19 08:15:25","2020-02-19 08:15:25",NULL,1,1
962,"濃口醤油","2020-12-10","ワカダン","2020-02-19 08:16:11","2020-02-19 08:16:11",NULL,1,1
972,"醤油","2021-11-01","正田醤油","2020-02-19 08:17:00","2020-02-19 08:17:00",NULL,1,1
982,"なたね油",NULL,"小山田産業","2020-02-19 08:18:02","2020-02-19 08:18:02",NULL,1,1
992,"とろけるシチュー","2020-10-02","SB","2020-02-19 08:18:39","2020-02-19 08:18:39",NULL,1,1
1002,"日本酒","2020-10-01","菊正宗","2020-02-19 08:19:28","2020-02-19 08:19:28",NULL,1,1
1012,"レモンジュース","2020-09-04","ポッカ","2020-02-19 08:20:29","2020-02-19 08:20:29",NULL,1,1
1032,"きざみにんにく","2021-05-13","桃屋","2020-02-26 07:42:52","2020-02-26 07:42:52",NULL,1,1
1042,"きざみしょうが","2021-02-27","桃屋","2020-02-26 07:43:33","2020-02-26 07:43:33",NULL,1,1
1052,"ねりごま","2020-11-08","かどや製油","2020-02-26 07:44:13","2020-02-26 07:44:13",NULL,1,1
1062,"生のり","2020-10-02","島乃香","2020-02-26 07:44:42","2020-02-26 07:44:42","2020-03-22",1,1
1072,"ラー油","2021-01-19","桃屋","2020-02-26 07:45:45","2020-02-26 07:45:45",NULL,1,1
1082,"ラー油","2021-08-08","李錦記","2020-02-26 07:46:20","2020-02-26 07:46:20",NULL,1,1
1092,"ラー油","2021-08-08","李錦記","2020-02-26 07:47:13","2020-02-26 07:47:13",NULL,1,1
1102,"ウスターソース","2020-08-01","鳥居食品","2020-02-26 07:48:20","2020-02-26 07:48:20",NULL,1,1
1112,"味噌","2020-06-16","マルモ青木味噌","2020-02-26 07:49:28","2020-02-26 07:49:28",NULL,1,1
1122,"もちピザシート","2020-04-17","K＆A","2020-02-26 07:50:04","2020-02-26 07:50:04",NULL,1,1
1132,"浅漬けの素","2020-10-17","久原本家食品","2020-02-26 07:50:24","2020-02-26 07:50:24",NULL,1,1
1142,"輪切り唐辛子","2020-12-22","高山俊一郎商店","2020-02-26 07:51:35","2020-02-26 07:51:35",NULL,1,1
1152,"バーニャカウダ","2021-03-09","日清フーズ","2020-02-26 07:52:47","2020-02-26 07:52:47",NULL,1,1
1162,"オニオンリングの素","2020-06-16","モランボン","2020-02-26 07:53:33","2020-02-26 07:53:33",NULL,1,1
